வணக்கம் நண்பரே	Hello friend
ஒட்டகச்சிவிங்கி இலை உண்ணும்	The giraffe eats leaves
வரிக்குதிரை கோடுகள் கொண்டது	The zebra has stripes
வரிக்குதிரை இங்கே உள்ளது	The zebra is here
ஒட்டகம் மணலில் நடக்கும்	The camel walks in the sand
ஒட்டகம் பாலை பாலை பாலை	The camel lives in the desert
கங்காரு குதித்து நடக்கும்	The kangaroo jumps and walks
கங்காரு ஆஸ்திரேலியாவில் உள்ளது	The kangaroo is in Australia
பாண்டா கருப்பு வெள்ளை	The panda is black and white
பாண்டா மூங்கில் உண்ணும்	The panda eats bamboo
தவளை நீரில் குதிக்கும்	The frog jumps in water
தவளை பச்சை நிறம்	The frog is green
ஆமை மெதுவாக நடக்கும்	The turtle walks slowly
ஆமை கடலில் நீந்தும்	The turtle swims in the sea
சிலந்தி வலை பின்னும்	The spider weaves a web
சிலந்தி எட்டு கால்கள் கொண்டது	The spider has eight legs
எறும்பு வரிசையாக நடக்கும்	The ant walks in a line
எறும்பு சிறியது	The ant is small
தேனீ தேன் எடுக்கும்	The bee collects honey
தேனீ ரீங்காரமிடும்	The bee buzzes
வண்ணத்துப்பூச்சி அழகானது	The butterfly is beautiful
வண்ணத்துப்பூச்சி பூவில் அமரும்	The butterfly sits on the flower
கழுகு உயரே பறக்கும்	The eagle flies high
கழுகு கூர்மையாக பார்க்கும்	The eagle looks sharply
ஆந்தை இரவில் விழித்திருக்கும்	The owl stays awake at night
ஆந்தை மரத்தில் அமரும்	The owl sits on the tree
அவர் ஒரு சிறந்த ஆசிரியர்	He is a great teacher
ஆசிரியர் இங்கே இருக்கிறார்	The teacher is here
மாணவர் படிக்கிறார்	The student is reading
சிறந்த மாணவர் வெற்றி பெற்றார்	The best student won
வகுப்பறை சுத்தமாக உள்ளது	The classroom is clean
வகுப்பறை பெரியது	The classroom is big
இந்த வகுப்பு கடினம்	This class is difficult
வகுப்பு இப்போது தொடங்கியது	The class started now
பாடம் எளிது	The lesson is easy
அடுத்த பாடம் என்ன	What is the next lesson
வீட்டுப்பாடம் முடிந்தது	The homework is finished
