హాయ్, మీరు ఎలా ఉన్నారు?	Hi, how are you?
మునిగిపోతుంది లో నీళ్లు ఉన్నాయి	There is water in the sink
మునిగిపోతుంది శుభ్రం చేయండి	Clean the sink
ఆ పక్షి అందంగా ఉంది	That bird is beautiful
పక్షి ఆకాశంలో ఎగురుతుంది	The bird flies in the sky
చేప నీళ్లలో ఉంది	The fish is in the water
నాకు చేప అంటే ఇష్టం	I like fish
గుర్రం వేగంగా పరిగెత్తుతుంది	The horse runs fast
ఆ గుర్రం తెల్లగా ఉంది	That horse is white
ఆవు పాలు ఇస్తుంది	The cow gives milk
ఆవు గడ్డి తింటుంది	The cow eats grass
గేదె పొలంలో ఉంది	The buffalo is in the field
గేదె నల్లగా ఉంది	The buffalo is black
మేక గడ్డి తింటుంది	The goat eats grass
మేక చిన్నదిగా ఉంది	The goat is small
గొర్రెలు పచ్చగడ్డి తింటున్నాయి	The sheep are eating green grass
గొర్రెలు పొలంలో ఉన్నాయి	The sheep are in the field
పంది బురదలో ఉంది	The pig is in the mud
పంది పెద్దదిగా ఉంది	The pig is big
కుందేలు వేగంగా పరిగెత్తుతుంది	The rabbit runs fast
కుందేలు తెల్లగా ఉంది	The rabbit is white
ఎలుక గోధుమలు తింటుంది	The rat eats wheat
ఎలుక చిన్నదిగా ఉంది	The rat is small
నా మౌస్ పనిచేయడం లేదు	My mouse is not working
కంప్యూటర్ మౌస్ ఇక్కడ ఉంది	The computer mouse is here
బాతు నీటిలో ఈదుతుంది	The duck swims in the water
బాతు తెల్లగా ఉంది	The duck is white
చికెన్ ధర పెరిగింది	The price of chicken increased
నేను చికెన్ తిన్నాను	I ate chicken
కోడి గుడ్డు పెట్టింది	The hen laid an egg
కోడి గింజలు తింటుంది	The hen eats grains
రూస్టర్ అరిచింది	The rooster crowed
రూస్టర్ పొద్దున్నే లేపింది	The rooster woke me up early
టర్కీ పక్షి పెద్దదిగా ఉంది	The turkey bird is big
టర్కీ పక్షులు ఇక్కడ ఉన్నాయి	Turkey birds are here
సింహం అడవి రాజు	The lion is the king of the forest
సింహం గట్టిగా గర్జిస్తుంది	The lion roars loudly
పులి అడవిలో ఉంది	The tiger is in the forest
పులి చాలా క్రూరమైనది	The tiger is very cruel
ఎలుగుబంటి తేనె ఇష్టపడుతుంది	The bear likes honey
ఎలుగుబంటి నల్లగా ఉంది	The bear is black
తోడేలు అడవిలో ఉంది	The wolf is in the forest
తోడేలు గట్టిగా అరిచింది	The wolf howled loudly
జింక వేగంగా పరిగెత్తుతుంది	The deer runs fast
జింక అందంగా ఉంది	The deer is beautiful
ఏనుగు చాలా పెద్దది	The elephant is very big
ఏనుగు నీటితో స్నానం చేస్తుంది	The elephant bathes with water
కోతి చెట్టుపై ఉంది	The monkey is on the tree
కోతి అరటిపండు తింటుంది	The monkey eats a banana
జిరాఫీ మెడ పొడవుగా ఉంది	The giraffe has a long neck
జిరాఫీ ఎత్తుగా ఉంది	The giraffe is tall
జీబ్రా చారలు కలిగి ఉంది	The zebra has stripes
జీబ్రా అడవిలో ఉంటుంది	The zebra lives in the forest
ఒంటె ఎడారిలో నడుస్తుంది	The camel walks in the desert
ఒంటెకు పెద్ద మూపు ఉంది	The camel has a big hump
కంగారు దూకుతుంది	The kangaroo jumps
కంగారు ఆస్ట్రేలియాలో ఉంటుంది	The kangaroo is in Australia
పాండా తెల్లగా నల్లగా ఉంది	The panda is white and black
పాండా బొంగురుపోయినది	The panda is fluffy
పాము నేల మీద ఉంది	The snake is on the ground
పాము విషపూరితం	The snake is poisonous
కప్ప నీటిలో ఉంది	The frog is in the water
కప్ప గెంతింది	The frog jumped
తాబేలు నెమ్మదిగా నడుస్తుంది	The turtle walks slowly
తాబేలు నీటిలో ఉంది	The turtle is in the water
సాలీడు వల అల్లింది	The spider spun a web
సాలీడు గోడపై ఉంది	The spider is on the wall
చీమ చిన్నదిగా ఉంది	The ant is small
చీమ చక్కెర తింటుంది	The ant eats sugar
తేనెటీగ తేనెను సేకరిస్తుంది	The bee collects honey
తేనెటీగ కుట్టినది	The bee stung
సీతాకోకచిలుక రంగులమయంగా ఉంది	The butterfly is colorful
డేగ ఆకాశంలో ఎగిరింది	The eagle flew in the sky
డేగ చాలా వేగంగా ఉంది	The eagle is very fast
గుడ్లగూబ రాత్రి పూట వస్తుంది	The owl comes at night
ఆ గుడ్లగూబ పెద్దదిగా ఉంది	That owl is big
ఆయన మంచి గురువు	He is a good teacher
గురువు పాఠం చెప్పారు	The teacher taught the lesson
ఆ విద్యార్థి చదువుకున్నాడు	That student studied
