ہیلو، آپ کیسے ہیں؟	Hello, how are you?
یہ ایک خلاصہ خیال ہے۔	This is an abstract idea.
اس کی سوچ خلاصہ ہے۔	His thinking is abstract.
یہ کنکریٹ کی دیوار ہے۔	This is a concrete wall.
ہمیں کنکریٹ ثبوت چاہئیں۔	We need concrete evidence.
ہدایات بالکل واضح ہیں۔	The instructions are explicit.
یہ ایک واضح پیغام ہے۔	This is an explicit message.
یہ ایک مضمر مطلب ہے۔	This is an implicit meaning.
بات مضمر رہ گئی۔	The point remained implicit.
یہ غالب خیال ہے۔	This is the predominant idea.
وہ غالب اثر رکھتا ہے۔	He has a predominant influence.
یہ جھگڑا ختم کرو	End this fight.
وہ جھگڑا کر رہے ہیں	They are fighting.
اس کا دعوی غلط ہے	His claim is wrong.
اپنے دعوی کے بارے میں بتائیں	Tell about your claim.
میں اس کی تردید کرتا ہوں	I refute this.
اس تردید کا کیا مقصد ہے	What is the purpose of this refutation?
سچ ثابت کرنا مشکل ہے	It is hard to prove the truth.
آپ اسے ثابت کرنا چاہتے ہیں	You want to prove it.
وہ اپنی غلطی تسلیم کرنا چاہتے ہیں	They want to concede their mistake.
ہم اسے تسلیم کرنا پسند کرتے ہیں	We like to concede it.
وہ یہاں شرط لگانا چاہتے ہیں	They want to stipulate a condition here.
ایک نئی شرط لگانا ضروری ہے	It is necessary to stipulate a new condition.
میرا مفروضہ بالکل درست ہے	My hypothesis is absolutely correct.
اس مفروضہ پر غور کریں	Think about this hypothesis.
وہ اس بات پر زور دینا چاہتے ہیں	They want to emphasize this point.
اس بات پر زور دینا ضروری ہے	It is important to emphasize this.
براہ کرم اسے واضح کریں	Please clarify this.
امن برقرار رکھنا ضروری ہے	It is necessary to maintain peace.
رابطہ برقرار رکھنا اچھی بات ہے	Maintaining contact is a good thing.
وہ ہر بات پر بحث کرتے ہیں	They argue about everything.
یہ بحث بہت لمبی تھی	This argument was very long.
میری ایک تجویز ہے	I have a proposal.
اس تجویز پر عمل کریں	Act on this proposal.
آپ کیا تجویز کریں	What do you suggest?
ایک اچھی تجویز کریں	Suggest something good.
ان کا دعوی جھوٹا ہے	Their claim is false.
اپنے دعوی کی دلیل دیں	Give the reason for your claim.
وہ اپنا دفاع کرتے ہیں	They defend themselves.
اس کا دفاع کرنا مشکل ہے	It is hard to defend this.
میں آپ کی حمایت کرتا ہوں	I support you.
ہمیں ان کی حمایت کرنی چاہیے	We should support them.
لوگ اس کی مخالفت کرتے ہیں	People oppose him.
مخالفت کرنا آسان نہیں ہے	Opposing is not easy.
یہ ایک بڑا چیلنج ہے	This is a big challenge.
آپ کو چیلنج کرنا پسند ہے	You like to challenge.
زمین کا تنازعہ ختم ہو گیا	The land dispute ended.
یہ ایک پرانا تنازعہ ہے	This is an old dispute.
یہ باتیں آپس میں متضاد ہیں	These things are contradictory.
اس متضاد بات کو سمجھیں	Understand this contradictory point.
اس نے میری درخواست مسترد کر دی	He rejected my request.
اس خیال کو مسترد کریں	Reject this idea.
میں آپ کی بات قبول کریں	I accept your point.
اس تحفے کو قبول کریں	Accept this gift.
وہ اپنی ہار تسلیم کرنا چاہتے ہیں	They want to acknowledge their defeat.
اس بات کو تسلیم کرنا پڑے گا	This will have to be acknowledged.
وہ اپنی غلطی تسلیم کرتے ہیں	They admit their mistake.
ہم یہ بات تسلیم کرتے ہیں	We admit this.
اس سے کیا نتیجہ اخذ کرنا ہے	What is the conclusion to be drawn?
ہم نتیجہ اخذ کرنا چاہتے ہیں	We want to conclude.
آپ اس سے کیا اندازہ لگانا چاہتے ہیں	What do you want to infer from this?
آپ کیا نتیجہ نکالنا چاہتے ہیں	What conclusion do you want to draw?
اس سے نتیجہ نکالنا آسان ہے	It is easy to deduce from this.
وہ اس بات کی طرف اشارہ کرنا چاہتے ہیں	They want to allude to this.
آپ اس کی طرف اشارہ کرنا چاہیں	You would like to allude to this.
اس بات کی مثال دینا درست ہے	It is correct to illustrate this point.
ایک اچھی مثال دینا سیکھیں	Learn to give a good illustration.
اس بات کو مثال دینا ضروری ہے	It is necessary to exemplify this.
اس کی مثال دینا آسان ہے	It is easy to exemplify this.
شہر کا پھیلاؤ بہت تیز ہے	The expansion of the city is very fast.
اس کا پھیلاؤ رک گیا	Its expansion has stopped.
آپ اس بات کی تصدیق کریں	You verify this.
براہ کرم تصدیق کریں	Please verify.
اس کی تصدیق کریں	Confirm it.
اس دستاویز کی توثیق کریں	Validate this document.
آپ اس کی توثیق کریں	You validate this.
یہ بات قابل غور ہے۔	This point is considerable.
اس میں قابل غور تبدیلی آئی۔	There was a considerable change in it.
یہ ایک معمولی بات ہے۔	This is a marginal matter.
اس کی قیمت معمولی ہے۔	Its price is marginal.
بتدریج تبدیلی آتی ہے۔	Change comes gradually.
وہ بتدریج بہتر ہو رہا ہے۔	He is improving gradually.
قیمتوں میں اتار چڑھاؤ ہے۔	There is fluctuation in prices.
اسٹاک میں اتار چڑھاؤ ہے۔	There is fluctuation in the stock.
یہ پہاڑ کی چوٹی ہے۔	This is the peak of the mountain.
چوٹی پر برف ہے۔	There is snow on the peak.
یہ ایک سطح مرتفع ہے۔	This is a plateau.
ہم سطح مرتفع پر پہنچ گئے۔	We reached the plateau.
سورج کا اٹھنا دیکھیں۔	Watch the rise of the sun.
اس کا اٹھنا ضروری ہے۔	His rise is necessary.
اس میں اضافہ ہوا۔	There was an increase in this.
قیمت میں اضافہ ہوا۔	There was an increase in price.
تیز اضافہ ہوا ہے۔	There has been a surge.
اس میں اضافہ دیکھا گیا۔	An increase was seen in this.
ساہل پر گھر ہیں۔	There are houses on the shore.
وہ ساہل تک گئے۔	They went to the shore.
پرندوں کا چڑھنا دیکھیں۔	Watch the birds soar.
وہ اوپر چڑھنا چاہتا ہے۔	He wants to soar up.
راکٹ آسمان میں گیا۔	The rocket went into the sky.
یہ ایک بڑا راکٹ ہے۔	This is a big rocket.
قیمت کو مستحکم کرنا ہے۔	The price has to be stabilized.
حالت کو مستحکم کرنا ضروری ہے۔	It is necessary to stabilize the situation.
قیمتیں سطح بند ہو گئیں۔	Prices leveled off.
اسے سطح بند کریں۔	Level it off.
پانی میں ڈبو لگائیں۔	Dip it in the water.
اس میں ایک ڈبو ہے۔	There is a dip in this.
یہ ایک بڑا سپائیک ہے۔	This is a big spike.
سپائیک بہت تیز تھا۔	The spike was very sharp.
وہ زیادہ تعداد میں ہیں۔	They are in outnumber.
ہمیں زیادہ تعداد میں جانا ہے۔	We have to go in outnumber.
یہ ایک درست تناسب ہے۔	This is a correct proportion.
تناسب برقرار رکھیں۔	Maintain the proportion.
یہ اعداد و شمار غلط ہیں۔	These figures are wrong.
اعداد و شمار چیک کریں۔	Check the figures.
اعداد و شمار کیا کہتے ہیں؟	What do the statistics say?
اعداد و شمار واضح ہیں۔	The statistics are clear.
میرا تخمینہ درست ہے۔	My estimate is correct.
تخمینہ لگانا مشکل ہے۔	It is difficult to estimate.
یہ تقریباً دس بج رہے ہیں۔	It is approximately ten o'clock.
وہ تقریباً یہاں پہنچ گیا ہے۔	He has approximately reached here.
یہ تقریباً ایک کلو ہے۔	This is roughly one kilo.
وہ تقریباً ٹھیک ہے۔	He is roughly okay.
یہ حد سے زیادہ ہے۔	This exceeds the limit.
حد سے زیادہ نہ جائیں۔	Do not exceed the limit.
یہ پانچ لوگوں پر مشتمل ہے۔	This comprises five people.
ٹیم دس ممبرز پر مشتمل ہے۔	The team comprises ten members.
اس کے لئے اکاؤنٹ کھولیں۔	Open an account for this.
اس کے لئے اکاؤنٹ موجود ہے۔	An account exists for this.
وہ آہستہ آہستہ چلا۔	He walked gradually.
آہستہ آہستہ کام کرو۔	Work gradually.
وہ مستقل طور پر یہاں ہے۔	He is steadily here.
قیمتیں مستقل طور پر بڑھیں۔	Prices increased steadily.
قیمتیں ڈرامائی طور پر بڑھیں۔	Prices increased dramatically.
یہ ڈرامائی طور پر بدلا۔	This changed dramatically.
یہ نمایاں طور پر بہتر ہے۔	This is noticeably better.
نمایاں طور پر فرق ہے۔	There is a noticeable difference.
مجموعی طور پر سب ٹھیک ہے۔	Overall everything is fine.
مجموعی طور پر نتیجہ اچھا رہا۔	Overall the result was good.
وہ یہاں ہے جبکہ آپ وہاں ہیں۔	He is here whereas you are there.
وہ سو رہا تھا جبکہ بارش ہو رہی تھی۔	He was sleeping whereas it was raining.
وہاں بہت بھیڑ تھی جب کہ میں اکیلا تھا۔	It was very crowded there whilst I was alone.
وہ خاموش رہا جب کہ سب بول رہے تھے۔	He remained silent whilst everyone was speaking.
وہ خوش ہے اگرچہ وہ بیمار ہے۔	He is happy albeit he is sick.
اس نے کوشش کی اگرچہ وہ ہار گیا۔	He tried albeit he lost.
اس کی بیماری اس کے باوجود وہ کام کرتا ہے۔	Notwithstanding his illness, he works.
بارش کے باوجود اس کے باوجود وہ باہر گیا۔	Notwithstanding the rain, he went out.
یہ ایک ایسا نظام ہے جس کے ذریعے ہم سیکھتے ہیں۔	This is a system whereby we learn.
یہ ایک راستہ ہے جس کے ذریعے ہم پہنچتے ہیں۔	This is a path whereby we arrive.
تم نے دیر کی اس لیے تم ہار گئے۔	You were late hence you lost.
وہ بیمار تھا اس لیے وہ نہیں آیا۔	He was sick hence he did not come.
اس طرح ہم سب جیت سکتے ہیں۔	Thus we can all win.
اس طرح کام مکمل ہو جائے گا۔	Thus the work will be completed.
کچھ لوگ اسے پسند کرتے ہیں اس کے برعکس کچھ نہیں۔	Some like it, conversely some do not.
وہ بہت امیر ہے اس کے برعکس میں غریب ہوں۔	He is very rich, conversely I am poor.
یہ دلیل سے سب سے بہترین کتاب ہے۔	This is arguably the best book.
وہ دلیل سے اس شہر کا سب سے بڑا آدمی ہے۔	He is arguably the biggest man in this city.
وہ تھکا ہوا تھا اس کے باوجود وہ چلتا رہا۔	He was tired nevertheless he kept walking.
رات بہت اندھیری تھی اس کے باوجود ہم چلے۔	The night was very dark nevertheless we went.
کام مشکل تھا بہر حال ہم نے اسے کیا۔	The work was difficult nonetheless we did it.
وقت کم تھا بہر حال ہم نے کوشش کی۔	Time was short nonetheless we tried.
وہ اچھا ہے اس کے علاوہ وہ سخی بھی ہے۔	He is good, moreover he is also generous.
پہلی کوشش ناکام ہوئی اس کے علاوہ دوسری بھی۔	The first attempt failed, moreover the second one too.
تم نے جھوٹ بولا لہذا میں تم پر یقین نہیں۔	You lied therefore I do not believe you.
وہ بیمار تھا لہذا وہ سکول نہیں گیا۔	He was sick therefore he did not go to school.
اس نے غلطی کی اس کے نتیجے میں وہ ہارا۔	He made a mistake, consequently he lost.
بارش ہوئی اس کے نتیجے میں سڑکیں گیلی ہو گئیں۔	It rained, consequently the roads became wet.
اس کے مطابق آپ کو یہاں آنا چاہیے۔	Accordingly you should come here.
ہم اس کے مطابق کام کریں گے۔	We will work accordingly.
دونوں کو یکساں طور پر اہمیت دی گئی۔	Both were given importance equally.
ہم سب کو یکساں طور پر دیکھا جائے۔	Everyone should be treated equally.
یہ نیلا ہے اس کے برعکس وہ سرخ ہے۔	This is blue, in contrast that is red.
وہ گرم ہے اس کے برعکس یہ ٹھنڈا ہے۔	That is hot, in contrast this is cold.
وہ برا نہیں ہے اس کے برعکس وہ بہت اچھا ہے۔	He is not bad, on the contrary he is very good.
میں اداس نہیں ہوں اس کے برعکس میں بہت خوش ہوں۔	I am not sad, on the contrary I am very happy.
ایک آدمی امیر ہے دوسری طرف دوسرا غریب ہے۔	One man is rich, on the other hand the other is poor.
یہ سستا ہے دوسری طرف وہ مہنگا ہے۔	This is cheap, on the other hand that is expensive.
اس نے محنت کی نتیجے کے طور پر وہ پاس ہوا۔	He worked hard, as a result he passed.
غلطی ہوئی نتیجے کے طور پر نقصان ہوا۔	A mistake happened, as a result loss occurred.
کچھ پھل ہیں مثال کے طور پر سیب۔	There are some fruits, for instance apples.
وہ کئی زبانیں جانتا ہے مثال کے طور پر اردو۔	He knows many languages, for instance Urdu.
وہ بہت ذہین ہے مثال کے طور پر وہ ریاضی جانتا ہے۔	He is very intelligent, for example he knows math.
وہ بہت کچھ کھاتا ہے مثال کے طور پر آم۔	He eats many things, for example mangoes.
اس کے علاوہ ہمیں پانی بھی چاہیے۔	In addition, we also need water.
وہ سچا ہے اس کے علاوہ وہ ایماندار ہے۔	He is truthful, in addition he is honest.
کتاب کے ساتھ شروع کرنے کے لئے ایک صفحہ دیکھیں۔	To begin with, look at a page of the book.
آپ کہانی خلاصہ کرنا پسند کرتے ہیں۔	You like to sum up the story.
اسے خلاصہ کرنا مشکل ہے۔	It is difficult to sum up this.
آخر میں ہم جیت گئے۔	In conclusion, we won.
آخر میں کیا ہوا؟	What happened in conclusion?
وہ بالآخر واپس آگیا۔	He ultimately came back.
ظاہر ہے وہ ناراض ہے۔	Evidently, he is angry.
ظاہر ہے یہ مشکل کام ہے۔	Evidently, this is a difficult task.
اقرار سے یہ غلطی میری تھی۔	Admittedly, this mistake was mine.
اقرار سے وہ بہت اچھا ہے۔	Admittedly, he is very good.
بلاشبہ یہ ایک سچا واقعہ ہے۔	Undeniably, this is a true incident.
وہ بلاشبہ بہت ذہین ہے۔	He is undeniably very intelligent.
بظاہر سب ٹھیک لگتا ہے۔	Seemingly, everything looks fine.
وہ بظاہر خاموش رہا۔	He remained seemingly silent.
اس بات کو واضح کرنا ضروری ہے۔	It is necessary to elucidate this point.
آپ اپنا موقف واضح کرنا چاہتے ہیں۔	You want to elucidate your position.
وہ اس بات کی تصدیق کرنا چاہتے ہیں۔	He wants to corroborate this matter.
گواہ نے سچ کی تصدیق کرنا شروع کی۔	The witness started to corroborate the truth.
ہم ڈیٹا سے نتیجہ نکالنا چاہتے ہیں۔	We want to extrapolate a result from the data.
آپ اس سے کیا نکالنا چاہتے ہیں؟	What do you want to extrapolate from this?
سائنسدان مواد کو ترکیب کرنا چاہتے ہیں۔	Scientists want to synthesize the materials.
آپ کو نئی ترکیب کرنا سیکھنا چاہیے۔	You should learn to synthesize.
وہ نقشے پر حدود بیان کرنا چاہتے ہیں۔	He wants to delineate the boundaries on the map.
اسے تفصیل سے بیان کرنا شروع کریں۔	Start to delineate it in detail.
ہم اس درد کی تخفیف چاہتے ہیں۔	We want to mitigate this pain.
کوشش کریں کہ نقصان کی تخفیف کریں۔	Try to mitigate the loss.
آپ اس مسئلے کو بڑھانا چاہتے ہیں۔	You want to exacerbate this problem.
غلطی سے معاملہ مزید بڑھانا مت۔	Do not exacerbate the matter by mistake.
میں سچ معلوم کرنا چاہتا ہوں۔	I want to ascertain the truth.
آپ اس کی حقیقت معلوم کرنا چاہتے ہیں۔	You want to ascertain his reality.
ہمیں یہ بات فرض کرنا پڑے گی۔	We will have to postulate this point.
آپ ایک نیا نظریہ فرض کرنا چاہتے ہیں۔	You want to postulate a new theory.
جج نے فیصلہ کرنا شروع کیا۔	The judge started to adjudicate.
ہمیں اس معاملے میں فیصلہ کرنا ہے۔	We have to adjudicate in this matter.
دو کمپنیوں کا امتزاج ہو گیا۔	The amalgamation of two companies happened.
یہ ایک نیا امتزاج ہے۔	This is a new amalgamate.
کیمیائی عمل کو اتپریرک کی ضرورت ہے۔	The chemical process needs a catalyze.
اس عمل میں اتپریرک کا استعمال کریں۔	Use a catalyze in this process.
وہ راستے کو روکنا چاہتے ہیں۔	They want to circumvent the path.
آپ اس رکاوٹ کو روکنا چاہتے ہیں۔	You want to circumvent this obstacle.
خیالات کا ملاپ ہونا چاہیے۔	There should be a conflate of ideas.
یہ ایک عجیب ملاپ ہے۔	This is a strange conflate.
آپ اسے غلط تعبیر کرنا چاہتے ہیں۔	You want to construe it wrongly.
اس بات کو تعبیر کرنا مشکل ہے۔	It is difficult to construe this point.
پولیس نے چھان بین شروع کی۔	The police started to scrutinize.
آپ اس فائل کی چھان بین کریں۔	You scrutinize this file.
سب نے اس عمل کی مذمت کی۔	Everyone denounced this act.
آپ اس فیصلے کی مذمت کرنا چاہتے ہیں۔	You want to denounce this decision.
یہ سامان اب فرسودہ ہو چکا ہے۔	This equipment has now become deprecate.
پرانی رسمیں اب فرسودہ ہیں۔	Old customs are now deprecate.
اس کی بے عزتی کرنا غلط ہے۔	It is wrong to disparage him.
وہ دوسروں کی بے عزتی کرنا چاہتا ہے۔	He wants to disparage others.
خبر کو تیزی سے پھیلانا چاہیے۔	The news should be disseminate quickly.
آپ معلومات کو پھیلانا چاہتے ہیں۔	You want to disseminate information.
ستاروں کو شمار کرنا مشکل ہے۔	It is difficult to enumerate the stars.
آپ اپنے فائدے شمار کرنا چاہتے ہیں۔	You want to enumerate your benefits.
آپ برائی سے بچنا چاہتے ہیں۔	You want to eschew evil.
ہمیں غلطیوں سے بچنا چاہیے۔	We should eschew mistakes.
کام کو تیز کرنا ضروری ہے۔	It is necessary to expedite the work.
آپ اس عمل کو تیز کرنا چاہتے ہیں۔	You want to expedite this process.
وہ اس کیس میں ملوث ہے۔	He is implicate in this case.
آپ اس معاملے میں ملوث نہ ہوں۔	Do not be implicate in this matter.
رنگوں کا ملاپ خوبصورت ہے۔	The juxtapose of colors is beautiful.
آپ ان دو چیزوں کا ملاپ دیکھیں۔	You see the juxtapose of these two things.
اس کام کو قانونی بنانا چاہیے۔	This work should be legitimize.
آپ اس عمل کو قانونی بنانا چاہتے ہیں۔	You want to legitimize this process.
وہ اس روایت کو برقرار رکھنا چاہتے ہیں۔	They want to perpetuate this tradition.
اس نظام کو برقرار رکھنا مشکل ہے۔	It is difficult to perpetuate this system.
یہ قانون اسے روکنا چاہتا ہے۔	This law wants to preclude it.
آپ اسے روکنا چاہتے ہیں۔	You want to preclude it.
کیا آپ اپنی بات دہرانا چاہتے ہیں؟	Do you want to repeat your point?
اسے دوبارہ دہرانا ضروری ہے۔	It is necessary to repeat it again.
ہمیں ایک نئی شرط لگانا چاہیے۔	We should set a new condition.
وہ ہمیشہ شرط لگانا پسند کرتا ہے۔	He always likes to make a bet.
سچائی ہر حد سے تجاوز کرتی ہے۔	Truth transcends every limit.
یہ عمل وقت کا تجاوز کرتا ہے۔	This act transcends time.
اس لفظ کے نیچے انڈر سکور لگائیں۔	Put an underscore under this word.
آپ انڈر سکور کہاں لگائیں گے؟	Where will you put the underscore?
اس گٹھڑی کو کھولنا مشکل ہے۔	It is difficult to unravel this bundle.
وہ راز کو کھولنا چاہتا ہے۔	He wants to unravel the secret.
کسی کو گالی دینا بری بات ہے۔	Vilifying someone is a bad thing.
اس نے مجھے گالی دینا شروع کیا۔	He started to vilify me.
سچ آپ کو ثابت کرنا پڑے گا۔	You will have to prove the truth.
وکیل نے اسے ثابت کرنا چاہا۔	The lawyer wanted to vindicate him.
یہ ایک دو دھاری تلوار ہے۔	This is a double-edged sword.
سیاست ایک دو دھاری تلوار ہے۔	Politics is a double-edged sword.
یہ معاملے کی جڑ ہے۔	This is the crux of the matter.
ہمیں معاملے کی جڑ تلاش کرنی ہے۔	We have to find the crux of the matter.
یہ ایک اہم نقطہ ہے۔	This is a moot point.
وہ ایک اہم نقطہ تھا۔	That was a moot point.
طویل مدت میں یہ بہتر ہے۔	In the long run, this is better.
طویل مدت میں نقصان ہوگا۔	In the long run, there will be a loss.
اس کی روشنی میں سوچیں۔	Think in light of this.
سچ کی روشنی میں فیصلہ کریں۔	Decide in light of the truth.
اسی ٹوکن کی طرف سے یہ ہوا۔	By the same token, this happened.
اسی ٹوکن کی طرف سے وہ گیا	By the same token, he went.
اس کی قیمت پر جیت ملی۔	Victory was achieved at the expense of this.
اس کی قیمت پر وقت گیا۔	Time was lost at the expense of this.
وہ نیلے رنگ سے باہر آیا۔	He came out of the blue.
یہ خبر نیلے رنگ سے باہر آئی۔	This news came out of the blue.
اسے ایک چٹکی بھر نمک کے ساتھ لیں۔	Take it with a pinch of salt.
بات کو ایک چٹکی بھر نمک کے ساتھ سنیں۔	Listen to the talk with a pinch of salt.
وہ کے کنارے پر ہے۔	He is on the verge of.
شہر کے کنارے پر گھر ہے۔	The house is on the verge of the city.
وہ شیطان کے وکیل کا کردار ادا کرنا چاہتا ہے۔	He wants to play devil's advocate.
شیطان کے وکیل کا کردار ادا کرنا مشکل ہے۔	It is hard to play devil's advocate.
ہم ایک ہی صفحے پر ہونا چاہتے ہیں۔	We want to be on the same page.
سب کا ایک ہی صفحے پر ہونا ضروری ہے۔	It is necessary for everyone to be on the same page.
اب گولی کاٹنا پڑے گا۔	Now we have to bite the bullet.
اس نے گولی کاٹنا سیکھا۔	He learned to bite the bullet.
وہ آدھی رات کے تیل کو جلانے کے لئے جاگا۔	He woke up to burn the midnight oil.
آدھی رات کے تیل کو جلانے کے لئے محنت کریں۔	Work hard to burn the midnight oil.
یہ لکیر کھینچنے کے لیے وقت ہے۔	It is time to draw the line.
ہمیں لکیر کھینچنے کے لیے کہنا چاہیے۔	We should ask to draw the line.
اس پر نظر رکھنے کے لئے کوئی ہے۔	There is someone to keep an eye on this.
بچے پر نظر رکھنے کے لئے رہیں۔	Stay to keep an eye on the child.
بلی کو تھیلے سے باہر کرنے کے لیے کوشش نہ کریں۔	Do not try to let the cat out of the bag.
اس نے بلی کو تھیلے سے باہر کرنے کے لیے کہا۔	He asked to let the cat out of the bag.
اسے قبول کرنے کے لیے وقت دیں۔	Give time to take it for granted.
اسے قبول کرنے کے لیے تیار رہیں۔	Be ready to take it for granted.
آنکھ بند کرنے کے لیے یہ طریقہ ہے۔	This is the way to turn a blind eye.
وہ آنکھ بند کرنے کے لیے تیار ہے۔	He is ready to turn a blind eye.
وہ پتلی برف پر ہونا پسند نہیں کرتا۔	He does not like to be on thin ice.
تم پتلی برف پر ہونا شروع ہوئے ہو۔	You have started to be on thin ice.
اس نے ایک بازو اور ایک ٹانگ کی قیمت لگانا شروع کیا۔	He started to cost an arm and a leg.
یہ ایک بازو اور ایک ٹانگ کی قیمت لگانا ہے۔	This is to cost an arm and a leg.
اس کے دل کی تبدیلی کے لیے دعا کریں۔	Pray for his change of heart.
میرے دل کی تبدیلی کے لیے شکریہ۔	Thanks for my change of heart.
وہ چاند کے اوپر ہونا چاہتا ہے۔	He wants to be over the moon.
وہ چاند کے اوپر ہونا محسوس کر رہا ہے۔	He is feeling like being over the moon.
ہمیں آنکھ سے آنکھ دیکھنے کے لیے وقت چاہیے۔	We need time to see eye to eye.
کیا آپ آنکھ سے آنکھ دیکھنے کے لیے تیار ہیں؟	Are you ready to see eye to eye?
باڑ پر بیٹھنے کے لئے جگہ نہیں ہے۔	There is no place to sit on the fence.
باڑ پر بیٹھنے کے لئے انتظار نہ کریں۔	Do not wait to sit on the fence.
وہ آج کل موسم کے تحت ہونا محسوس کر رہا ہے۔	He is feeling under the weather these days.
آپ موسم کے تحت ہونا کیوں چاہتے ہیں؟	Why do you want to be under the weather?
اس بات سے برف کو توڑنے کے لئے کوشش کریں۔	Try to break the ice with this talk.
ہم نے بات کر کے برف کو توڑنے کے لئے وقت لیا۔	We took time to break the ice by talking.
آپ نے سر پر کیل مارنے کے لئے صحیح بات کہی۔	You hit the nail on the head by saying the right thing.
سچ بتانے کے لئے سر پر کیل مارنے کے لئے شکریہ۔	Thanks for hitting the nail on the head by telling the truth.
آپ کو کسی کی ٹانگ کھینچنا پسند ہے۔	You like to pull someone's leg.
اس کی عادت ہے کہ وہ کسی کی ٹانگ کھینچنا شروع کر دے۔	It is his habit to start pulling someone's leg.
آخر میں ہم گھر گئے۔	In conclusion, we went home.
آخر میں سب خاموش ہو گئے۔	In conclusion, everyone became silent.
میرا خلاصہ کرنا مشکل ہے۔	It is difficult to sum up.
آپ خلاصہ کرنا چاہتے ہیں۔	You want to sum up.
سب کچھ توازن پر ہے۔	Everything is on balance.
توازن پر نظر رکھیں۔	Keep an eye on balance.
جوہر میں یہ سچ ہے۔	In essence, this is true.
جوہر میں بات سادہ ہے۔	In essence, the matter is simple.
اس کے علاوہ وہ آیا۔	In addition, he came.
اس کے علاوہ کچھ اور لائیں۔	Bring something else in addition.
اس کے برعکس وہ خوش تھا۔	In contrast, he was happy.
اس کے برعکس یہاں ٹھنڈ ہے۔	In contrast, it is cold here.
اس کے برعکس یہ غلط ہے۔	On the contrary, this is wrong.
اس کے برعکس وہ گیا تھا۔	On the contrary, he had gone.
دوسرے الفاظ میں یہ مشکل ہے۔	In other words, this is difficult.
دوسرے الفاظ میں کیا ہوا؟	In other words, what happened?
مثال کے طور پر یہ دیکھیں۔	For instance, look at this.
مثال کے طور پر وہ گیا۔	For instance, he went.
نتیجے کے طور پر وہ ہارا۔	As a result, he lost.
نتیجے کے طور پر بارش ہوئی۔	As a result, it rained.
پہلی جگہ میں کیا تھا؟	What was in the first place?
پہلی جگہ میں کوئی نہیں۔	There is no one in the first place.
کے ساتھ شروع کرنے کے لئے یہاں آئیں۔	To begin with, come here.
اس کے ساتھ شروع کرنے کے لئے بات کریں۔	To begin with, talk.
دوسری جگہ میں کیا ہے؟	What is in the second place?
دوسری جگہ میں وہ گیا۔	He went in the second place.
آخر میں ہم ملے تھے۔	Lastly, we had met.
آخر میں وہ آیا۔	Lastly, he came.
آخر میں کہانی ختم ہوئی۔	Finally, the story ended.
آخر میں سب ہنس پڑے۔	Finally, everyone started laughing.
سب سے پہلے ہاتھ دھوئیں۔	Firstly, wash your hands.
سب سے پہلے یہاں بیٹھیں	Firstly, sit here.
دوسری بات یہ ضروری ہے۔	Secondly, this is important.
دوسری بات وہ نہیں آیا۔	Secondly, he did not come.
تیسرے ہم وہاں گئے۔	Thirdly, we went there.
تیسرے اس نے کہا۔	Thirdly, he said.
اس نے بدلے میں کیا دیا؟	What did he give in turn?
میں نے بدلے میں شکریہ کہا۔	I said thanks in turn.
اس کے برعکس وہ بڑا ہے۔	By contrast, he is big.
مقابلے میں وہ جیت گیا۔	In comparison, he won.
مقابلے میں یہ بہتر ہے۔	In comparison, this is better.
ایک طرف وہ ستا رہا۔	On the one hand, he stayed.
ایک طرف یہ اچھا ہے۔	On the one hand, this is good.
دوسری طرف وہ گیا۔	On the other hand, he went.
دوسری طرف یہ برا ہے۔	On the other hand, this is bad.
وہ بلکہ یہاں رہا۔	He rather stayed here.
میں بلکہ اسے دوں گا۔	I would rather give it to him.
اس کے بجائے یہ لیں۔	Take this instead.
اس کے بجائے وہ گیا۔	Instead, he went.
متبادل طور پر یہ کریں	Alternatively, do this.
متبادل طور پر وہاں جائیں	Alternatively, go there.
لہذا ہم نے اسے بلایا۔	Therefore, we called him.
لہذا یہ کام مشکل ہے۔	Therefore, this work is difficult.
اس کے نتیجے میں وہ گرا۔	Consequently, he fell.
اس کے نتیجے میں بارش ہوئی۔	Consequently, it rained.
اس طرح ہم جیت گئے۔	Thus, we won.
اس طرح وہ گیا تھا۔	Thus, he had gone.
اس لیے وہ نہیں آیا۔	Hence, he did not come.
اس لیے یہ غلط ہے۔	Hence, this is wrong.
اس طرح اس نے کام کیا۔	Thereby, he worked.
اس طرح وہ جیت گیا۔	Thereby, he won.
اس کے بعد وہ سو گیا۔	Thereafter, he slept.
اس کے بعد ہم گئے	Thereafter, we went.
اس کے بعد سب چلے گئے۔	Thereupon, everyone left.
اس کے بعد بات ختم ہوئی۔	Thereupon, the talk ended.
خاص طور پر یہ اچھا ہے۔	Notably, this is good.
خاص طور پر وہ آیا۔	Notably, he came.
یہ بنیادی طور پر میرا خیال ہے۔	This is basically my idea.
ہم بنیادی طور پر یہاں رہتے ہیں۔	We basically live here.
جواب غیر واضح تھا۔	The answer was unequivocal.
یہ بات غیر واضح ہے۔	This matter is unequivocal.
ثبوت ناقابل تردید ہیں۔	The evidence is irrefutable.
یہ دلیل ناقابل تردید ہے۔	This argument is irrefutable.
اس کے نمایاں اثرات ہیں۔	It has salient effects.
وہ ایک نمایاں شخصیت ہے۔	He is a salient personality.
یہ ایک موروثی عادت ہے۔	This is an inherent habit.
