ನಮಸ್ಕಾರ, ನೀವು ಹೇಗಿದ್ದೀರಾ?	Hello, how are you?
ಸ್ಟ್ರಾಬೆರಿ ಕೆಂಪಾಗಿದೆ	The strawberry is red
ಸ್ಟ್ರಾಬೆರಿ ನನಗೆ ಇಷ್ಟ	I like strawberry
ನಿಂಬೆ ಹಣ್ಣು ಇಲ್ಲ	There is no lemon
ನಿಂಬೆ ರಸ ಬೇಕು	I want lemon juice
ಆಲೂಗಡ್ಡೆ ಕಾಯಿ ಕಾಯಿ	The potato is a vegetable
ಆಲೂಗಡ್ಡೆ ಬೇಯಿಸಿ	Cook the potato
ಟೊಮೆಟೊ ಕೆಂಪಾಗಿದೆ	The tomato is red
ಟೊಮೆಟೊ ಕತ್ತರಿಸಿ	Cut the tomato
ಈರುಳ್ಳಿ ಕಟುವಾಗಿದೆ	The onion is pungent
ಈರುಳ್ಳಿ ತರರಿ	Bring the onion
ಬೆಳ್ಳುಳ್ಳಿ ಹಾಕಿ	Add garlic
ಬೆಳ್ಳುಳ್ಳಿ ಇಲ್ಲ	There is no garlic
ಕ್ಯಾರೆಟ್ ತಿನ್ನಿ	Eat the carrot
ಕ್ಯಾರೆಟ್ ಕೆಂಪಾಗಿದೆ	The carrot is red
ಕೋಳಿ ಮಾಂಸ ಬೇಕು	I want chicken meat
ಕೋಳಿ ಬಂದಿದೆ	The chicken has come
ಉಪ್ಪು ಹಾಕಿ	Add salt
ಉಪ್ಪು ಜಾಸ್ತಿ ಇದೆ	There is too much salt
ಸಕ್ಕರೆ ಸಿಹಿಯಾಗಿದೆ	Sugar is sweet
ಸಕ್ಕರೆ ಕೊಡಿ	Give sugar
ತೈಲ ಇದೆ	There is oil
ತೈಲ ಬೇಕು	I want oil
ಬೆಣ್ಣೆ ಹಾಕಿ	Add butter
ಬೆಣ್ಣೆ ಮೆತ್ತಗಿದೆ	The butter is soft
ಚೀಸ್ ಬೇಕು	I want cheese
ಚೀಸ್ ಇಲ್ಲ	There is no cheese
ಮೊಸರು ಕುಡಿರಿ	Drink yogurt
ಮೊಸರು ಹುಳಿಯಾಗಿದೆ	The yogurt is sour
ಕೇಕ್ ತಿನ್ನಿ	Eat the cake
ಕೇಕ್ ಸಿಹಿಯಾಗಿದೆ	The cake is sweet
ಚಾಕೊಲೇಟ್ ಬೇಕು	I want chocolate
ಚಾಕೊಲೇಟ್ ಸಿಹಿಯಾಗಿದೆ	The chocolate is sweet
ಉಪಹಾರ ಮಾಡಿ	Have breakfast
ಉಪಹಾರ ಎಲ್ಲಿದೆ?	Where is the breakfast?
ಊಟದ ಸಮಯ ಆಯ್ತು	It is lunch time
ಊಟದ ತಟ್ಟೆ ಇಲ್ಲ	There is no lunch plate
ಭೋಜನ ಮಾಡಿ	Have dinner
ಭೋಜನ ಸಿದ್ಧವಾಗಿದೆ	Dinner is ready
ತಿಂಡಿ ತಿನ್ನಿ	Eat the snack
ತಿಂಡಿ ಬೇಕು	I want a snack
ಊಟ ಮಾಡಿ	Have a meal
ಊಟ ಚೆನ್ನಾಗಿದೆ	The meal is good
ಪ್ಲೇಟ್ ತರರಿ	Bring the plate
ಪ್ಲೇಟ್ ಇಲ್ಲ	There is no plate
ಕಪ್ ಎಲ್ಲಿದೆ?	Where is the cup?
ಕಪ್ ತುಂಬಿದೆ	The cup is full
ನನ್ನ ತಲೆ ನೋವು ಇದೆ	My head has pain
ಅವನ ತಲೆ ದೊಡ್ಡದಾಗಿದೆ	His head is big
ನಿಮ್ಮ ಮುಖ ಚೆನ್ನಾಗಿದೆ	Your face is beautiful
ನನ್ನ ಮುಖ ಕೆಂಪಾಗಿದೆ	My face has become red
ಕಣ್ಣು ತುಂಬಾ ಸಣ್ಣದು	The eye is very small
ನನ್ನ ಕಣ್ಣು ನೋವು ಇದೆ	My eye has pain
ಕಿವಿ ಇಲ್ಲಿ ಇದೆ	The ear is here
ಅವನ ಕಿವಿ ಕೆಂಪಾಗಿದೆ	His ear is red
ಮೂಗು ಉದ್ದವಾಗಿದೆ	The nose is long
ನನ್ನ ಮೂಗು ಸಣ್ಣದು	My nose is small
ಬಾಯಿ ತೆರೆಯಿರಿ	Open the mouth
ನನ್ನ ಬಾಯಿ ಒಣಗಿದೆ	My mouth is dry
ತುಟಿ ಕೆಂಪಾಗಿದೆ	The lip is red
ನಿಮ್ಮ ತುಟಿ ಬಿರುಕಾಗಿದೆ	Your lip is chapped
ಹಲ್ಲು ಬಿಳಿ ಇದೆ	The tooth is white
ನನ್ನ ಹಲ್ಲು ನೋವು ಇದೆ	My tooth has pain
ನಾಲಿಗೆ ಕೆಂಪಾಗಿದೆ	The tongue is red
ನಾಲಿಗೆಯಿಂದ ಮಾತು ಬರುತ್ತದೆ	Speech comes from the tongue
ಗಲ್ಲದ ಕೆಳಗೆ ನೋಡಿ	Look below the chin
ಅವನ ಗಲ್ಲದ ಭಾಗ ದೊಡ್ಡದು	His chin area is big
ಕುತ್ತಿಗೆ ಉದ್ದವಾಗಿದೆ	The neck is long
ನನ್ನ ಕುತ್ತಿಗೆ ನೋವು ಇದೆ	My neck has pain
ಭುಜ ನೋವು ಇದೆ	The shoulder has pain
ಅವನ ಭುಜ ಬಲವಾಗಿದೆ	His shoulder is strong
ನನ್ನ ತೋಳು ಉದ್ದವಾಗಿದೆ	My arm is long
ತೋಳು ಇಲ್ಲಿ ಇದೆ	The arm is here
ಬೆರಳು ಸಣ್ಣದಾಗಿದೆ	The finger is thin
ನನ್ನ ಬೆರಳು ನೋವು ಇದೆ	My finger has pain
ಹೆಬ್ಬೆರಳು ದೊಡ್ಡದಾಗಿದೆ	The thumb is big
ನಿಮ್ಮ ಹೆಬ್ಬೆರಳು ಎಲ್ಲಿಯಿದೆ?	Where is your thumb?
ಮಣಿಕಟ್ಟು ಸಣ್ಣದಾಗಿದೆ	The wrist is thin
ನನ್ನ ಮಣಿಕಟ್ಟು ನೋವು ಇದೆ	My wrist has pain
ಮೊಣಕೈ ಇಲ್ಲಿ ಇದೆ	The elbow is here
ಅವನ ಮೊಣಕೈ ಕೆಂಪಾಗಿದೆ	His elbow is red
ಕಾಲು ನೋವು ಇದೆ	The leg has pain
ನನ್ನ ಕಾಲು ಉದ್ದವಾಗಿದೆ	My leg is long
ಮೊಣಕಾಲು ದೊಡ್ಡದಾಗಿದೆ	The knee is big
ನನ್ನ ಮೊಣಕಾಲು ನೋವು ಇದೆ	My knee has pain
ಕಾಲು ಇಲ್ಲಿ ಇದೆ	The foot is here
ನನ್ನ ಕಾಲು ಸಣ್ಣದಾಗಿದೆ	My foot is small
ಪಾದದ ಕೆಳಗೆ ನೋಡಿ	Look under the ankle
ಪಾದದ ಭಾಗ ಕೆಂಪಾಗಿದೆ	The ankle area is red
ಅವನು ನನ್ನ ಹಿಂದೆ ಇದ್ದಾನೆ	He is behind me
ಮನೆ ಮುಂದೆ ಮತ್ತು ಹಿಂದೆ ಇದೆ	The house is in front and behind
ಎದೆ ನೋವು ಇದೆ	The chest has pain
ಅವನ ಎದೆ ಬಲವಾಗಿದೆ	His chest is strong
ಹೊಟ್ಟೆ ತುಂಬಿದೆ	The stomach is full
ನನ್ನ ಹೊಟ್ಟೆ ನೋವು ಇದೆ	My stomach has pain
ಕೂದಲು ಕಪ್ಪು ಬಣ್ಣ	Hair is black color
ನಿಮ್ಮ ಕೂದಲು ಉದ್ದವಾಗಿದೆ	Your hair is long
ಚರ್ಮ ಮೃದುವಾಗಿದೆ	The skin is soft
ನನ್ನ ಚರ್ಮ ಬಿಳಿ ಇದೆ	My skin is white
ಮೂಳೆ ಬಲವಾಗಿದೆ	The bone is strong
ನನ್ನ ಮೂಳೆ ನೋವು ಇದೆ	My bone has pain
ರಕ್ತ ಕೆಂಪು ಬಣ್ಣ	Blood is red color
ನನ್ನ ರಕ್ತ ಶುದ್ಧವಾಗಿದೆ	My blood is pure
ಹೃದಯ ಬಡಿತ ವೇಗವಾಗಿದೆ	The heart beat is fast
ನನ್ನ ಹೃದಯ ಸಂತೋಷವಾಗಿದೆ	My heart is happy
ಮೆದುಳು ಕೆಲಸ ಮಾಡುತ್ತದೆ	The brain works
ಅವನ ಮೆದುಳು ಚುರುಕಾಗಿದೆ	His brain is sharp
ಶ್ವಾಸಕೋಶ ಗಾಳಿಯನ್ನು ತೆಗೆದುಕೊಳ್ಳುತ್ತದೆ	The lung takes air
ನನ್ನ ಶ್ವಾಸಕೋಶ ಚೆನ್ನಾಗಿದೆ	My lung is good
ಸೊಂಟ ಸಣ್ಣದಾಗಿದೆ	The hip is thin
ಅವನ ಸೊಂಟ ನೋವು ಇದೆ	His hip has pain
ಗಡ್ಡ ಉದ್ದವಾಗಿದೆ	The beard is long
ನನಗೆ ಗಡ್ಡ ಇದೆ	I have a beard
ಮೀಸೆ ಚೆನ್ನಾಗಿದೆ	The moustache is good
ಅವನ ಮೀಸೆ ದೊಡ್ಡದಾಗಿದೆ	His moustache is big
ಕೆನ್ನೆ ಕೆಂಪಾಗಿದೆ	The cheek is red
ನನ್ನ ಕೆನ್ನೆ ಮೃದುವಾಗಿದೆ	My cheek is soft
ಹಣೆಯ ಮೇಲೆ ನೋಡಿ	Look on the forehead
ನಿಮ್ಮ ಹಣೆಯ ದೊಡ್ಡದಾಗಿದೆ	Your forehead is big
ದೇಶ ಕೊಠಡಿ ದೊಡ್ಡದಾಗಿದೆ	The living room is big.
ನಾನು ದೇಶ ಕೊಠಡಿಯಲ್ಲಿ ಕುಳಿತಿದ್ದೇನೆ	I am sitting in the living room.
ಮಲಗುವ ಕೋಣೆ ಸ್ವಚ್ಛವಾಗಿದೆ	The bedroom is clean.
ಅವಳು ಮಲಗುವ ಕೋಣೆಯಲ್ಲಿದ್ದಾಳೆ	She is in the bedroom.
ಅಡಿಗೆ ಮನೆಯಲ್ಲಿ ಅಮ್ಮ ಇದ್ದಾರೆ	Mother is in the kitchen.
ಅಡಿಗೆ ಮನೆ ತುಂಬಾ ಸಣ್ಣದು	The kitchen is very small.
ಸ್ನಾನಗೃಹ ಎಲ್ಲಿದೆ?	Where is the bathroom?
ಸ್ನಾನಗೃಹ ತುಂಬಾ ಶುಭ್ರವಾಗಿದೆ	The bathroom is very clean.
ಬಾಗಿಲು ತೆರೆಯಿರಿ	Open the door.
ಬಾಗಿಲು ಮುಚ್ಚಲಾಗಿದೆ	The door is closed.
ಕಿಟಕಿ ದೊಡ್ಡದಾಗಿದೆ	The window is big.
ಕಿಟಕಿ ಮೂಲಕ ಗಾಳಿ ಬರುತ್ತಿದೆ	Air is coming through the window.
ಗೋಡೆ ಬಿಳಿ ಬಣ್ಣದಲ್ಲಿದೆ	The wall is white in color.
ಗೋಡೆ ಮೇಲೆ ಚಿತ್ರವಿದೆ	There is a picture on the wall.
ಮಹಡಿ ತುಂಬಾ ತಣ್ಣಾಗಿದೆ	The floor is very cold.
ಮಹಡಿ ಮೇಲೆ ನೀರಿದೆ	There is water on the floor.
ಸೀಲಿಂಗ್ ಹೊಸದಾಗಿದೆ	The ceiling is new.
ಸೀಲಿಂಗ್ ಮೇಲೆ ಒಂದು ಜೇಡವಿದೆ	There is a spider on the ceiling.
ಛಾವಣಿ ಕೆ지고ಿದೆ	The roof is leaking.
ಛಾವಣಿ ತುಂಬಾ ಎತ್ತರವಾಗಿದೆ	The roof is very high.
ಮೆಟ್ಟಿಲುಗಳು ಕಲ್ಲಿನವು	The stairs are made of stone.
ಮೆಟ್ಟಿಲುಗಳು ಬಹಳ ಉದ್ದವಾಗಿವೆ	The stairs are very long.
ಬಾಲ್ಕನಿ ಗಾಳಿಯಾಗಿದೆ	The balcony is breezy.
ಬಾಲ್ಕನಿದಲ್ಲಿ ಕುಳಿತು ನೋಡಿ	Sit in the balcony and watch.
ಉದ್ಯಾನ ಸುಂದರವಾಗಿದೆ	The garden is beautiful.
ನನಗೆ ಉದ್ಯಾನ ಇಷ್ಟ	I like the garden.
ಅಂಗಳ ದೊಡ್ಡದಾಗಿದೆ	The yard is big.
ಅಂಗಳದಲ್ಲಿ ಮರಗಳಿವೆ	There are trees in the yard.
ಹಾಸಿಗೆ ಮೃದುವಾಗಿದೆ	The bed is soft.
ಹಾಸಿಗೆ ಮೇಲೆ ಮಲಗಿ	Lie down on the bed.
ದಿಂಬು ದೊಡ್ಡದಾಗಿದೆ	The pillow is big.
ದಿಂಬು ಬಿಳಿ ಬಣ್ಣದಲ್ಲಿದೆ	The pillow is white in color.
ಕಂಬಳಿ ಬೆಚ್ಚಗಾಗಿದೆ	The blanket is warm.
ಕಂಬಳಿ ತೆಗೆಯಿರಿ	Remove the blanket.
ಟೇಬಲ್ ಮೇಲೆ ಪುಸ್ತಕವಿದೆ	There is a book on the table.
ಟೇಬಲ್ ತುಂಬಾ ಹಳೆಯದು	The table is very old.
ಕುರ್ಚಿ ಮೇಲೆ ಕುಳಿತುಕೊ	Sit on the chair.
ಈ ಕುರ್ಚಿ ಕೆಂಪು ಬಣ್ಣದಲ್ಲಿದೆ	This chair is red in color.
ಸೋಫಾ ತುಂಬಾ ಆರಾಮದಾಯಕವಾಗಿದೆ	The sofa is very comfortable.
ಸೋಫಾ ಮೇಲೆ ಕುಳಿತುಕೊ	Sit on the sofa.
ಶೆಲ್ಫ್ ಮೇಲೆ ಪುಸ್ತಕಗಳಿವೆ	There are books on the shelf.
ಶೆಲ್ಫ್ ತುಂಬಾ ತುಂಬಿದೆ	The shelf is very full.
ಬೀರು ದೊಡ್ಡದಾಗಿದೆ	The cupboard is big.
ಬೀರು ತೆರೆಯಿರಿ	Open the cupboard.
ವಾರ್ಡ್ರೋಬ್ ಹೊಸದಾಗಿದೆ	The wardrobe is new.
ವಾರ್ಡ್ರೋಬ್ ಒಳಗಡೆ ಬಟ್ಟೆಗಳಿವೆ	There are clothes inside the wardrobe.
ದೀಪ ಬೆಳಗು	Light the lamp.
ದೀಪ ಚೆನ್ನಾಗಿದೆ	The lamp is nice.
ಬೆಳಕು ಕಡಿಮೆ ಇದೆ	The light is low.
ಬೆಳಕು ತುಂಬಾ ಇದೆ	There is a lot of light.
ಗಡಿಯಾರ ಎಂಟು ತೋರಿಸುತ್ತಿದೆ	The clock is showing eight.
ಕನ್ನಡಿ ದೊಡ್ಡದಾಗಿದೆ	The mirror is big.
ಕನ್ನಡಿ ನೋಡಿ	Look in the mirror.
ಕಾರ್ಪೆಟ್ ಕೆಂಪು ಬಣ್ಣದಲ್ಲಿದೆ	The carpet is red in color.
ಕಾರ್ಪೆಟ್ ಮೇಲೆ ನಿಲ್ಲಿ	Stand on the carpet.
ಪರದೆ ತೆರೆಯಿರಿ	Open the curtain.
ಪರದೆ ನೀಲಿ ಬಣ್ಣದಲ್ಲಿದೆ	The curtain is blue in color.
ಟವೆಲ್ ಎಲ್ಲಿದೆ?	Where is the towel?
ಟವೆಲ್ ಒಣಗಿದೆ	The towel is dry.
ಸಾಬೂನು ಚೆನ್ನಾಗಿದೆ	The soap is good.
ಸಾಬೂನು ಎಲ್ಲಿದೆ?	Where is the soap?
ಫ್ರಿಜ್ ತುಂಬಾ ದೊಡ್ಡದು	The fridge is very big.
ಫ್ರಿಜ್ ಒಳಗಡೆ ನೀರಿದೆ	There is water inside the fridge.
ಒಲೆಯಲ್ಲಿ ಅಡುಗೆ ಮಾಡು	Cook in the oven.
ಒಲೆಯಲ್ಲಿ ಆಹಾರವಿದೆ	There is food in the oven.
ಒಲೆ ಬೆಂಕಿ ಇದೆ	The stove has fire
ಕಲ್ಲು ನೀರಿನಲ್ಲಿ ಮುಳುಗು	The stone sinks in the water
ನನ್ನ ಮನಸ್ಸು ನೆನಪಿನಲ್ಲಿ ಮುಳುಗು	My mind sinks in the memory
ಬೆಕ್ಕು ಹಾಲು ಕುಡಿಯುತ್ತದೆ	The cat drinks milk
ನನ್ನ ಬೆಕ್ಕು ಬಿಳಿ ಬಣ್ಣ	My cat is white color
ಹಕ್ಕಿ ಆಕಾಶದಲ್ಲಿ ಹಾರುತ್ತದೆ	The bird flies in the sky
ಚಿಕ್ಕ ಹಕ್ಕಿ ಹಾಡುತ್ತದೆ	The small bird sings
ಕುದುರೆ ವೇಗವಾಗಿ ಓಡುತ್ತದೆ	The horse runs fast
ಅದು ದೊಡ್ಡ ಕುದುರೆ	That is a big horse
ಹಸು ಹಾಲು ಕೊಡುತ್ತದೆ	The cow gives milk
ನಮಗೆ ಹಸು ಬೇಕು	We want a cow
ಎಮ್ಮೆ ಕೆರೆಯಲ್ಲಿದೆ	The buffalo is in the pond
ಕಪ್ಪು ಎಮ್ಮೆ ಇಲ್ಲಿದೆ	The black buffalo is here
ಮೇಕೆ ಹುಲ್ಲು ತಿನ್ನುತ್ತಿದೆ	The goat is eating grass
ಬಿಳಿ ಮೇಕೆ ಓಡಿತು	The white goat ran
ಕುರಿಗಳು ಮೇಯುತ್ತಿವೆ	The sheep are grazing
ಅಲ್ಲಿ ಅನೇಕ ಕುರಿಗಳು ਹਨ	There are many sheep there
ಮೊಲ ವೇಗವಾಗಿ ಓಡುತ್ತದೆ	The rabbit runs fast
ಬಿಳಿ ಮೊಲ ಬೆಕ್ಕಿಗೆ ಹೆದರಿತು	The white rabbit feared the cat
ಇಲಿ ಗೋಡಾಲು ಒಳಗಿದೆ	The rat is inside the wall
ಇಲಿ ಚಿಕ್ಕ ಪ್ರಾಣಿ	The rat is a small animal
ಕಂಪ್ಯೂಟರ್ ಮೌಸ್ ಇಲ್ಲಿದೆ	The computer mouse is here
ನನ್ನ ಮೌಸ್ ಕೆತುಕಿದೆ	My mouse is broken
ಬಾತುಕೋಳಿ ನೀರಿನಲ್ಲಿ ಈಜುತ್ತದೆ	The duck swims in the water
ಬಾತುಕೋಳಿ ನೀರು ಕುಡಿಯಿತು	The duck drank water
ಕೋಳಿ ಮೊಟ್ಟೆ ಇಟ್ಟಿದೆ	The chicken laid an egg
ನಮ್ಮ ಮನೆಯಲ್ಲಿ ಕೋಳಿ ಇದೆ	There is a chicken in our house
ಕೋಳಿ ಮೊಟ್ಟೆ ಇಡುತ್ತದೆ	The hen lays eggs
ಅದು ಕೆಂಪು ಕೋಳಿ	That is a red hen
ಹುಂಜ ಕೂಗುತ್ತಿದೆ	The rooster is crowing
ಹುಂಜ ಬೆಳಿಗ್ಗೆ ಎದ್ದಿತು	The rooster woke up in the morning
ಟರ್ಕಿ ದೊಡ್ಡ ಹಕ್ಕಿ	The turkey is a big bird
ಅಲ್ಲಿ ಒಂದು ಟರ್ಕಿ ಇದೆ	There is a turkey there
ಸಿಂಹ ಕಾಡಿನ ರಾಜ	The lion is the king of the forest
ಸಿಂಹ ಜೋರಾಗಿ ಗರ್ಜಿಸಿತು	The lion roared loudly
ಹುಲಿ ಕಾಡಿನಲ್ಲಿ ಇದೆ	The tiger is in the forest
ಹುಲಿ ವೇಗವಾಗಿ ಓಡುತ್ತದೆ	The tiger runs fast
ಕರಡಿ ಜೇನು ತಿನ್ನುತ್ತದೆ	The bear eats honey
ದೊಡ್ಡ ಕರಡಿ ಬಂದಿತು	The big bear came
ತೋಳ ರಾತ್ರಿ ಕೂಗುತ್ತದೆ	The wolf howls at night
ತೋಳ ಕಾಡಿನಲ್ಲಿದೆ	The wolf is in the forest
ನರಿ ತುಂಬಾ ಚತುರ	The fox is very clever
ನರಿ ದ್ರಾಕ್ಷಿ ಹುಡುಕಿತು	The fox searched for grapes
ಜಿಂಕೆ ವೇಗವಾಗಿ ಓಡುತ್ತದೆ	The deer runs fast
ಜಿಂಕೆ ಹುಲ್ಲನ್ನು ತಿನ್ನುತ್ತಿದೆ	The deer is eating grass
ಆನೆ ತುಂಬಾ ದೊಡ್ಡದು	The elephant is very big
ಆನೆಗೆ ದೊಡ್ಡ ಸೊಂಡಿಲು ಇದೆ	The elephant has a big trunk
ಕೋತಿ ಮರದ ಮೇಲೆ ಇದೆ	The monkey is on the tree
ಕೋತಿ ಬಾಳೆಹಣ್ಣು ತಿನ್ನುತ್ತಿದೆ	The monkey is eating a banana
ಜಿರಾಫೆಗೆ ಉದ್ದವಾದ ಕುತ್ತು ಇದೆ	The giraffe has a long neck
ಜಿರಾಫೆ ಎತ್ತರದ ಮರ ತಿನ್ನುತ್ತಿದೆ	The giraffe is eating the tall tree
ಜೀಬ್ರಾ ಪಟ್ಟೆಗಳನ್ನು ಹೊಂದಿದೆ	The zebra has stripes
ಜೀಬ್ರಾ ಕಾಡಿನಲ್ಲಿ ಇದೆ	The zebra is in the forest
ಒಂಟೆ ಮರಳಿನ ಹಡಗು	The camel is the ship of the desert
ಒಂಟೆ ನೀರಿಲ್ಲದೆ ಇರಬಹುದು	The camel can stay without water
ಕಾಂಗರೂ ಜಿಗಿಯುತ್ತದೆ	The kangaroo jumps
ಕಾಂಗರೂ ಆಸ್ಟ್ರೇಲಿಯಾದ ಪ್ರಾಣಿ	The kangaroo is an Australian animal
ಪಾಂಡ ಕಪ್ಪು ಬಿಳಿ ಬಣ್ಣ	The panda is black and white color
ಪಾಂಡ ಬಿದಿರು ತಿನ್ನುತ್ತದೆ	The panda eats bamboo
ಹಾವು ನೆಲದ ಮೇಲೆ ಇದೆ	The snake is on the floor
ಹಾವು ವೇಗವಾಗಿ ಸಾಗಿದೆ	The snake moved fast
ಕಪ್ಪೆ ನೀರಲ್ಲಿ ಜಿಗಿಯುತ್ತದೆ	The frog jumps in the water
ಕಪ್ಪು ಕಪ್ಪೆ ಇಲ್ಲಿದೆ	The black frog is here
ಆಮೆ ನಿಧಾನವಾಗಿ ನಡೆಯುತ್ತದೆ	The turtle walks slowly
ಆಮೆ ನೀರಲ್ಲಿ ಈಜುತ್ತದೆ	The turtle swims in the water
ಜೇಡ ಜಾಲ ಹೆಣೆಯುತ್ತದೆ	The spider weaves a web
ಜೇಡ ಗೋಡೆಯಲ್ಲಿ ಇದೆ	The spider is on the wall
ಇರುವೆ ಸಕ್ಕರೆ ತಿನ್ನುತ್ತಿದೆ	The ant is eating sugar
ಇರುವೆ ತುಂಬಾ ಸಣ್ಣದು	The ant is very small
ಜೇನುನೊಣ ಹೂವಿನ ಮೇಲೆ ಇದೆ	The
ಚಿಟ್ಟೆ ಹಾರುತ್ತಿದೆ	The butterfly is flying
ಅದು ಒಂದು ಕೆಂಪು ಚಿಟ್ಟೆ	That is a red butterfly
ಹದ್ದು ಆಕಾಶದಲ್ಲಿದೆ	The eagle is in the sky
ಹದ್ದು ತುಂಬಾ ದೊಡ್ಡದು	The eagle is very big
ಗೂಬೆ ರಾತ್ರಿ ಬರುತ್ತದೆ	The owl comes at night
ಅದು ಒಂದು ಬಿಳಿ ಗೂಬೆ	That is a white owl
ಶಿಕ್ಷಕ ಇಲ್ಲಿ ಇದ್ದಾರೆ	The teacher is here
ಅವರು ಒಳ್ಳೆಯ ಶಿಕ್ಷಕ	He is a good teacher
ವಿದ್ಯಾರ್ಥಿ ಓದುತ್ತಿದ್ದಾನೆ	The student is reading
ಈ ವಿದ್ಯಾರ್ಥಿ ಚುರುಕಾಗಿದ್ದಾನೆ	This student is smart
ಶಾಲೆ ತುಂಬಾ ದೊಡ್ಡದು	The school is very big
ನಾನು ಶಾಲೆಗೆ ಹೋಗುತ್ತೇನೆ	I go to school
ತರಗತಿಯ ಬಾಗಿಲು ಮುಚ್ಚಿದೆ	The classroom door is closed
ತರಗತಿಯ ಒಳಗೆ ಹೋಗಿ	Go inside the classroom
ಈ ವರ್ಗವು ಸಣ್ಣದಾಗಿದೆ	This class is small
ಅವನು ಮೊದಲ ವರ್ಗದಲ್ಲಿದ್ದಾನೆ	He is in the first class
ಪಾಠ ಸರಳವಾಗಿದೆ	The lesson is simple
ನನಗೆ ಪಾಠ ಅರ್ಥವಾಯಿತು	I understood the lesson
ಮನೆಕೆಲಸ ಪೂರ್ಣವಾಗಿದೆ	The homework is complete
ಮನೆಕೆಲಸ ಮಾಡಿ	Do the homework
ನನ್ನ ನೋಟ್ಬುಕ್ ಇಲ್ಲಿದೆ	My notebook is here
ಹೊಸ ನೋಟ್ಬುಕ್ ತಗೆದುಕೊ	Get a new notebook
ಪೆನ್ನು ಮೇಜಿನ ಮೇಲಿದೆ	The pen is on the table
ಈ ಪೆನ್ನು ಕೆಂಪು ಬಣ್ಣ	This pen is red color
ಪೆನ್ಸಿಲ್ ಎಲ್ಲಿಯಿದೆ?	Where is the pencil?
ಪೆನ್ಸಿಲ್ ಅನ್ನು ಕೊಡಿ	Give the pencil
ಎರೇಸರ್ ಬಳಸಿ ಅಳಿಸಿ	Use the eraser to erase
ನನ್ನ ಬಳಿ ಎರೇಸರ್ ಇದೆ	I have an eraser
ಆಡಳಿತಗಾರ ಸರಿಯಾದ ಅಳತೆ ನೀಡಿದನು	The ruler gave the correct measurement
ಆಡಳಿತಗಾರ ಕಠಿಣವಾಗಿದ್ದಾರೆ	The ruler is strict
ಕಾಗದ ಬಿಳಿ ಬಣ್ಣ	The paper is white color
ಕಾಗದವನ್ನು ಕತ್ತರಿಸಿ	Cut the paper
ಮೇಜು ತುಂಬಾ ಹಳೆಯದು	The desk is very old
