#NAME?	#NAME?
(1) (Japanese) maple	(1) (Japanischer) Ahorn
Did you see that movie?	Hast du den Film gesehen?
Diet building	Diätaufbau
Diet; congress; parliament	Diät; Kongress; Parlament
Do they live here?	Wohnen sie hier?
Do we have class today?	Haben wir heute Unterricht?
Do we have enough money?	Haben wir genug Geld?
Do we have to sign here?	Müssen wir hier unterschreiben?
Do we need more chairs?	Brauchen wir mehr Stühle?
Do you deliver?	Liefern Sie?
Do you have a bigger size?	Hast du eine größere Größe?
Do you have a city map?	Hast du einen Stadtplan?
Do you have a lighter?	Hast du ein Feuerzeug?
Do you have a pen?	Hast du einen Stift?
Do you have a pet?	Hast du ein Haustier?
Do you have a phone charger?	Haben Sie ein Telefonladegerät?
Do you have any brothers?	Hast du Brüder?
Do you have any idea?	Hast Du eine Idee?
Do you have any news?	Gibt es Neuigkeiten?
Do you have any opinions regarding this plan?	Haben Sie eine Meinung zu diesem Plan?
Do you have any pets?	Haben Sie Haustiere?
Do you have any questions?	Haben Sie Fragen?
Do you have change for a twenty?	Hast du Wechselgeld für einen Zwanziger?
Do you have change?	Hast du Kleingeld?
Do you have dessert?	Hast du Nachtisch?
Do you have money?	Hast du Geld?
Do you have my size?	Hast du meine Größe?
Do you have this dictionary?	Haben Sie dieses Wörterbuch?
Do you have time?	Hast du Zeit?
Do you have to wear a uniform?	Muss man eine Uniform tragen?
Do you like playing games?	Spielst du gerne Spiele?
Do you like ramen?	Magst du Ramen?
Do you like tea?	Magst du Tee?
Do you mind waiting a moment?	Stört es Sie, einen Moment zu warten?
Do you read the newspaper?	Liest du die Zeitung?
Do you smoke?	Rauchen Sie?
Do you speak English?	Sprechen Sie Englisch?
Do you take credit cards?	Nehmen Sie Kreditkarten an?
Do you understand English?	Verstehen Sie Englisch?
Do you want any tea?	Möchtest du Tee?
Do you want to go shopping?	Möchten Sie einkaufen gehen?
Does anyone speak English here?	Spricht hier jemand Englisch?
Does he have my number?	Hat er meine Nummer?
Does he speak Hindi?	Spricht er Hindi?
Does he work here?	Arbeitet er hier?
Does she have a sister?	Hat sie eine Schwester?
Does she like pizza?	Mag sie Pizza?
Does she speak French?	Spricht sie Französisch?
Does the bus go to the station?	Fährt der Bus zum Bahnhof?
Does this bus go to Shinjuku?	Fährt dieser Bus nach Shinjuku?
Does this bus go to downtown?	Fährt dieser Bus in die Innenstadt?
Does your father drive?	Fährt dein Vater Auto?
Dog	Hund
Dogs are cute.	Hunde sind süß.
Don't be late.	Komm nicht zu spät.
Don't call at ten — I will be sleeping.	Rufen Sie nicht um zehn an – ich werde schlafen.
Don't forget to lock the door.	Vergessen Sie nicht, die Tür abzuschließen.
Don't panic.	Keine Panik.
Don't worry about it.	Machen Sie sich darüber keine Sorgen.
Don't worry, everything will be fine.	Mach dir keine Sorgen, alles wird gut.
Drink lots of water and get some rest.	Trinken Sie viel Wasser und ruhen Sie sich aus.
Drink plenty of water.	Trinken Sie viel Wasser.
East and West; whole country	Osten und Westen; ganzes Land
Eat healthy food.	Essen Sie gesundes Essen.
Egg	Ei
Emperor of Japan	Kaiser von Japan
English	Englisch
English (language)	Englisch (Sprache)
English class is interesting.	Der Englischunterricht ist interessant.
English conversation	Englische Konversation
English is easier than Japanese.	Englisch ist einfacher als Japanisch.
English is spoken all over the world.	Auf der ganzen Welt wird Englisch gesprochen.
English language	Englische Sprache
English letter (character)	Englischer Buchstabe (Zeichen)
English-Japanese (e.g. dictionary)	Englisch-Japanisch (z. B. Wörterbuch)
Enjoy your stay!	Genießen Sie Ihren Aufenthalt!
Enjoy your visit!	Genießen Sie Ihren Besuch!
Europe and America; the West	Europa und Amerika; der Westen
Even if I am free, I can't just sleep every day.	Selbst wenn ich frei bin, kann ich nicht jeden Tag schlafen.
Everyone danced a lot.	Alle haben viel getanzt.
Everyone must follow the rules.	Jeder muss sich an die Regeln halten.
Everything is okay now.	Jetzt ist alles in Ordnung.
Excuse me for disturbing (interrupting) you	Entschuldigen Sie, dass ich Sie störe (unterbreche).
Excuse me, please help me.	Entschuldigung, bitte helfen Sie mir.
Excuse me, where is the restroom?	Entschuldigung, wo ist die Toilette?
Excuse me..; Sorry to interrupt you.	Verzeihung..; Tut mir leid, Sie zu unterbrechen.
Excuse me; I'm sorry	Verzeihung; Es tut mir leid
Excuse me?	Entschuldigung?
Exercise keeps you fit.	Bewegung hält fit.
Family comes first.	Die Familie steht an erster Stelle.
February	Februar
Feeling tired, she went to bed early.	Sie fühlte sich müde und ging früh zu Bett.
Fire!	Feuer!
Fish	Fisch
Five friends came for me.	Fünf Freunde kamen für mich.
Follow me!	Folgen Sie mir!
Follow me, it's this way.	Folge mir, es geht hier entlang.
For here or to go?	Für hier oder für unterwegs?
For me, family comes first.	Für mich steht die Familie an erster Stelle.
Foreign Minister	Außenminister
Four eggs, please.	Vier Eier, bitte.
Four pencils, please.	Vier Bleistifte, bitte.
French fries	Pommes frites
Friday	Freitag
Friday (short)	Freitag (kurz)
From 9 o'clock.	Ab 9 Uhr.
From 9 to 5.	Von 9 bis 17 Uhr.
From Monday to Friday.	Von Montag bis Freitag.
Get out of here!	Verschwinde hier!
Get well soon.	Gute Besserung.
Glad to help.	Gerne helfen.
Go (board game of capturing territory)	Go (Brettspiel zur Gebietseroberung)
Go board	Geh an Bord
Go straight ahead.	Gehen Sie geradeaus.
Goat	Ziege
God	Gott
Golden Week	Goldene Woche
Good afternoon	Guten Tag
Good evening	Guten Abend
Good evening!	Guten Abend!
Good evening! Table for how many?	Guten Abend! Tisch für wie viele?
Good evening! Welcome to the Grand Hotel. Do you have a reservation?	Guten Abend! Willkommen im Grand Hotel. Haben Sie eine Reservierung?
Good evening.	Guten Abend.
Good morning	Guten Morgen
Good morning (polite)	Guten Morgen (höflich)
Good morning!	Guten Morgen!
Good morning! May I see your passport and boarding pass?	Guten Morgen! Darf ich Ihren Reisepass und Ihre Bordkarte sehen?
Good morning.	Guten Morgen.
Good night	Gute Nacht
Good night (polite)	Gute Nacht (höflich)
Good night!	Gute Nacht!
Good night.	Gute Nacht.
Goodbye (for a long time)	Auf Wiedersehen (für lange Zeit)
Had she known, she would have attended.	Hätte sie es gewusst, wäre sie dabei gewesen.
Had they ever visited this city?	Hatten sie diese Stadt jemals besucht?
Had you ever been to Japan before?	Waren Sie schon einmal in Japan?
Had you finished the report?	Haben Sie den Bericht fertiggestellt?
Happy Diwali!	Fröhliches Diwali!
Happy Eid!	Fröhliches Eid!
Happy New Year!	Frohes Neues Jahr!
Happy New Year.	Frohes Neues Jahr.
Happy birthday!	Alles Gute zum Geburtstag!
Has he paid the bill?	Hat er die Rechnung bezahlt?
Has it been raining here?	Hat es hier geregnet?
Has she arrived?	Ist sie angekommen?
Hat	Hut
Have a great flight!	Ich wünsche Ihnen einen tollen Flug!
Have a nice day!	Einen schönen Tag noch!
Have we met before?	Haben wir uns schon einmal getroffen?
Have you already done your homework?	Hast du deine Hausaufgaben schon gemacht?
Have you already eaten?	Schon gegessen?
Have you been taking your medicine?	Haben Sie Ihre Medikamente eingenommen?
Have you been waiting long?	Wartest du schon lange?
Have you eaten yet?	Hast Du schon gegessen?
Have you ever been to Japan?	Waren Sie schon einmal in Japan?
Have you ever been to London?	Waren Sie schon einmal in London?
Have you finished work?	Sind Sie mit der Arbeit fertig?
Have you seen my glasses?	Hast du meine Brille gesehen?
Have you seen this movie?	Hast du diesen Film gesehen?
Have you taken anything for the fever?	Haben Sie etwas gegen das Fieber genommen?
He acts as if he were the king.	Er tut so, als wäre er der König.
He agreed to help us.	Er erklärte sich bereit, uns zu helfen.
He asked me to help him.	Er bat mich, ihm zu helfen.
He asked me where I lived.	Er fragte mich, wo ich wohne.
He ate all the food.	Er hat das ganze Essen gegessen.
He avoids eating junk food.	Er vermeidet Junkfood.
He bought a new phone.	Er kaufte ein neues Telefon.
He came down the hill.	Er kam den Hügel hinunter.
He came home late.	Er kam spät nach Hause.
He can run very fast.	Er kann sehr schnell laufen.
He can't come to the party.	Er kann nicht zur Party kommen.
He can't come today.	Er kann heute nicht kommen.
He couldn't answer the question.	Er konnte die Frage nicht beantworten.
He didn't call me back.	Er hat mich nicht zurückgerufen.
He didn't come.	Er ist nicht gekommen.
He didn't eat any vegetables.	Er aß kein Gemüse.
He didn't say anything.	Er sagte nichts.
He didn't use to like coffee.	Früher mochte er keinen Kaffee.
He does nothing but play games.	Er macht nichts anderes als Spiele zu spielen.
He doesn't earn much money.	Er verdient nicht viel Geld.
He doesn't eat meat.	Er isst kein Fleisch.
He doesn't have time.	Er hat keine Zeit.
He doesn't like coffee.	Er mag keinen Kaffee.
He doesn't smoke.	Er raucht nicht.
He drinks coffee in the afternoon.	Nachmittags trinkt er Kaffee.
He drove along the river.	Er fuhr am Fluss entlang.
He drove to work this morning.	Er ist heute Morgen zur Arbeit gefahren.
He eats a lot of rice.	Er isst viel Reis.
He fell off the bike.	Er ist vom Fahrrad gefallen.
He finished writing the report.	Er hat den Bericht fertig geschrieben.
He forgot to lock the door.	Er hat vergessen, die Tür abzuschließen.
He had broken his leg before the race.	Er hatte sich vor dem Rennen das Bein gebrochen.
He had eaten before I got home.	Er hatte gegessen, bevor ich nach Hause kam.
He had lost his wallet before the trip.	Er hatte vor der Reise sein Portemonnaie verloren.
He had saved enough money for the trip.	Er hatte genug Geld für die Reise gespart.
He had to wait an hour.	Er musste eine Stunde warten.
He has a car.	Er hat ein Auto.
He has a fever today.	Er hat heute Fieber.
He has a new job.	Er hat einen neuen Job.
He has a red car.	Er hat ein rotes Auto.
He has been playing games all day.	Er hat den ganzen Tag Spiele gespielt.
He has been saving to buy a car.	Er hat gespart, um ein Auto zu kaufen.
He has been working out a lot.	Er hat viel trainiert.
He has gone to the market.	Er ist auf den Markt gegangen.
He has learned to drive.	Er hat Autofahren gelernt.
He has never tried sushi.	Er hat noch nie Sushi probiert.
He has the most courage.	Er hat den größten Mut.
He has three children.	Er hat drei Kinder.
He has to wear a uniform.	Er muss eine Uniform tragen.
He has worked here since March.	Seit März arbeitet er hier.
He hasn't called me yet.	Er hat mich noch nicht angerufen.
He insisted on paying for dinner.	Er bestand darauf, das Abendessen zu bezahlen.
He is Indian.	Er ist Inder.
He is a teacher.	Er ist Lehrer.
He is at the station.	Er ist am Bahnhof.
He is going to study abroad.	Er wird im Ausland studieren.
He is going to work hard this year.	Er wird dieses Jahr hart arbeiten.
He is more careful than his friend.	Er ist vorsichtiger als sein Freund.
He is my best friend.	Er ist mein bester Freund.
He is my brother.	Er ist mein Bruder.
He is not studying today.	Er lernt heute nicht.
He is older than me.	Er ist älter als ich.
He is sleeping in his room.	Er schläft in seinem Zimmer.
He is smarter than he looks.	Er ist schlauer als er aussieht.
He is supposed to come.	Er soll kommen.
He is talking on the phone.	Er telefoniert.
He is the most hardworking student.	Er ist der fleißigste Schüler.
He is the youngest in the family.	Er ist der Jüngste in der Familie.
He is very tall.	Er ist sehr groß.
He is younger than me.	Er ist jünger als ich.
He isn't going to help us.	Er wird uns nicht helfen.
He jumped into the pool.	Er sprang in den Pool.
He kept talking during class.	Er redete während des Unterrichts weiter.
He lives near the station.	Er wohnt in der Nähe des Bahnhofs.
He looks busy.	Er sieht beschäftigt aus.
He may be at home right now.	Möglicherweise ist er gerade zu Hause.
He might be the new manager.	Er könnte der neue Manager sein.
He might know the answer.	Er könnte die Antwort kennen.
He might not agree with us.	Er ist vielleicht nicht unserer Meinung.
He must know about that.	Er muss davon wissen.
He never eats breakfast.	Er frühstückt nie.
He not only works late every night but also on weekends.	Er arbeitet nicht nur jeden Abend bis spät in die Nacht, sondern auch am Wochenende.
He plays football on Sundays.	Sonntags spielt er Fußball.
He put the money in his wallet.	Er steckte das Geld in seine Brieftasche.
He ran out of the house.	Er rannte aus dem Haus.
He said he had lost his keys.	Er sagte, er hätte seine Schlüssel verloren.
He said he had never been there.	Er sagte, er sei noch nie dort gewesen.
He said he was tired.	Er sagte, er sei müde.
He said he was very busy.	Er sagte, er sei sehr beschäftigt.
He said he would come.	Er sagte, er würde kommen.
He said that he would come tomorrow.	Er sagte, dass er morgen kommen würde.
He should apologize.	Er sollte sich entschuldigen.
He should see a dentist.	Er sollte einen Zahnarzt aufsuchen.
He should stop smoking.	Er sollte mit dem Rauchen aufhören.
He shouldn't drive so fast.	Er sollte nicht so schnell fahren.
He stopped to buy some water.	Er blieb stehen, um etwas Wasser zu kaufen.
He threw the ball into the basket.	Er warf den Ball in den Korb.
He told me he would call later.	Er sagte mir, er würde später anrufen.
He told me the truth.	Er hat mir die Wahrheit gesagt.
He told me to wait.	Er sagte mir, ich solle warten.
He took a taxi to the airport.	Er nahm ein Taxi zum Flughafen.
He tried to open the window.	Er versuchte, das Fenster zu öffnen.
He was given a reward.	Er erhielt eine Belohnung.
He was invited to the party.	Er wurde zur Party eingeladen.
He was not paying attention.	Er hat nicht aufgepasst.
He was reading a book.	Er las ein Buch.
He was running to catch the train.	Er rannte, um den Zug zu erreichen.
He was waiting at the bus stop.	Er wartete an der Bushaltestelle.
He went to the market.	Er ging zum Markt.
He will be here soon.	Er wird bald hier sein.
He will be waiting outside.	Er wird draußen warten.
He will be working at that time.	Er wird zu diesem Zeitpunkt arbeiten.
He will have left by now.	Er wird inzwischen gegangen sein.
He will have repaired the car before dinner.	Er wird das Auto noch vor dem Abendessen repariert haben.
He won't agree with you.	Er wird dir nicht zustimmen.
He won't be angry with you.	Er wird dir nicht böse sein.
He won't be joining us for lunch.	Er wird nicht zum Mittagessen bei uns sein.
He won't have finished his homework yet.	Er wird seine Hausaufgaben noch nicht erledigt haben.
He works in a bank.	Er arbeitet in einer Bank.
He works in an office.	Er arbeitet in einem Büro.
He would always tell funny stories.	Er erzählte immer lustige Geschichten.
He would often sing in the shower.	Er sang oft unter der Dusche.
He's not available right now.	Er ist im Moment nicht verfügbar.
Hearing that story, I couldn't help laughing.	Als ich diese Geschichte hörte, musste ich lachen.
Hello!	Hallo!
Hello, how are you?	Hallo, wie geht es dir?
Hello, please take a seat. What seems to be the problem?	Hallo, bitte nehmen Sie Platz. Was scheint das Problem zu sein?
Hello, this is Alex.	Hallo, das ist Alex.
Hello.	Hallo.
Hello? (used on the phone)	Hallo? (wird am Telefon verwendet)
Help!	Hilfe!
Her name is Priya.	Ihr Name ist Priya.
Her room is cleaner than mine.	Ihr Zimmer ist sauberer als meines.
Here is my passport.	Hier ist mein Reisepass.
Here it is.	Hier ist es.
Here we are. The airport!	Hier sind wir. Der Flughafen!
Here you go. / Go ahead.	Bitte schön. / Fortfahren.
Here's your boarding pass. Boarding starts at 9:30.	Hier ist Ihre Bordkarte. Das Boarding beginnt um 9:30 Uhr.
Here's your cappuccino and muffin. Enjoy!	Hier ist dein Cappuccino und Muffin. Genießen!
Here's your change.	Hier ist Ihr Kleingeld.
Here's your fried rice. Enjoy!	Hier ist dein gebratener Reis. Genießen!
Hi there!	Hallo!
Hi there! Can I help you find something?	Hallo! Kann ich Ihnen helfen, etwas zu finden?
Hi! What can I get for you today?	Hallo! Was kann ich heute für Sie besorgen?
His car is very fast.	Sein Auto ist sehr schnell.
How about another day?	Wie wäre es mit einem anderen Tag?
How about this scarf? It comes in many colors.	Wie wäre es mit diesem Schal? Es gibt es in vielen Farben.
How about...?; How is...?	Wie wäre es mit...?; Wie ist...?
How are you?	Wie geht es dir?
How did you fix it?	Wie haben Sie es behoben?
How do you do?	Wie geht es dir?
How do you get to work?	Wie kommst du zur Arbeit?
How do you go to school?	Wie gehst du zur Schule?
How do you say it in Japanese?	Wie sagt man das auf Japanisch?
How far is it from here?	Wie weit ist es von hier entfernt?
How long does it take?	Wie lange dauert es?
How long have we been waiting?	Wie lange haben wir gewartet?
How long have you been learning Japanese?	Wie lange lernst du schon Japanisch?
