वाह!	Wow!
मुझे चीजों के बारे में पता है ।	I know things.
क्या मैं आपकी मदद कर सकता हूँ?	Can I help you?
टॉम महिलाओं से प्यार करता है।	Tom loves women.
क्या तुम्हें मुझपर यकीन है?	Do you believe me?
क्या तुम मेरा यकीन करते हो?	Do you believe me?
हम युद्ध का विरोध करते हैं।	We're against war.
वह मेरा चचेरा भाई नहीं है।	He isn't my cousin.
वह मेरा ममेरा भाई नहीं है।	He isn't my cousin.
मैं उन औरतों को जानता हूँ।	I know those women.
मैं एक अच्छी शिक्षिका हूँ।	I'm a good teacher.
क्या यह किताब तुम्हारी है?	Is this book yours?
कोई मेरी मदद नहीं कर सकता।	No one can help me.
गुलदान को किसने तोड़ दिया?	Who broke the vase?
मैंने पुरानी गाड़ी खरीदी।	I bought an old car.
मेरी बहन के पास नौकरी है।	My sister has a job.
हमारे पास काला कुत्ता है।	We have a black dog.
वह कामयाब होना चाहता था।	He wanted to succeed.
मैंने अपनी ऊँगली काट ली।	I just cut my finger.
मैं कभी वापस नहीं आऊँगा।	I'll never come back.
मेरे पैर पर चोंट लगी है।	I've injured my foot.
दरवाज़े को बंद कर दीजिए।	Please shut the door.
उस आदमी ने मेरी ओर देखा।	The man looked at me.
वह सीड़ियों पर चढ़ गया।	He climbed the stairs.
वह मेरा अच्छा दोस्त था।	He was my dear friend.
जहाँ भी डालना है डालदो।	Put it where you like.
उसने लम्बी ज़िन्दगी जी।	She lived a long life.
वह एक ज़िद्दी लड़की है।	She's a stubborn girl.
टॉम कभी टाई नहीं पहनता।	Tom never wears a tie.
वह गाना सभी को पता था।	Everyone knew the song.
मुझे पिंजरा खाली मिला।	I found the cage empty.
यह टॉम को मार सकता था।	It could've killed Tom.
आज मौसम काफ़ी ठंडा है।	It's rather cold today.
वह तेल में पका हुआ है।	That was cooked in oil.
वे बहुत प्रसन्न होंगे।	They will be very glad.
यह किताब बहुत पतली है।	This book is very thin.
मुझे गिलास खाली मिला।	I found the glass empty.
मैं शायद मदद कर सकूं।	I might be able to help.
मुझे एक और उदाहरण दो।	Show me another example.
बस अभी तक आई नहीं है।	The bus hasn't come yet.
तुम्हें किसलिए चाहिए?	What do you want it for?
चीज़ दूध से बनता है।	Cheese is made from milk.
मैं और नहीं चल सकती।	I can't walk any further.
मैं जंगल में खो गया।	I got lost in the forest.
खाना ठंडा हो रहा है।	The food is getting cold.
